Total Value Report
created on: Fri Feb 15 

Item                               	Count     	Total Value	
Beef Burger                        	 1         	 £ 8.95     	
Orange Juice                       	 2         	 £ 2.30     	
Bacon and Brie Panini              	 1         	 £ 6.75     	
mealDeal                           	 1         	 £-6.75     	
Soup of the Day                    	 1         	 £ 5.25     	
Chocolate Chip Cookie              	 1         	 £ 1.25     	
Cadbury                            	 0         	 £ 0.00     	
Tea                                	 2         	 £ 3.90     	
Black Coffee                       	 2         	 £ 3.50     	
Fanta                              	 4         	 £ 5.00     	
Sparkling Water                    	 1         	 £ 0.90     	
Oatmeal Cookie                     	 1         	 £ 1.25     	
Twirl                              	 0         	 £ 0.00     	
Still Water                        	 0         	 £ 0.00     	
Mars Bar                           	 0         	 £ 0.00     	
Apple                              	 2         	 £ 1.00     	
Salt and Vinegar Crisps            	 0         	 £ 0.00     	
Ceaser Salad                       	 0         	 £ 0.00     	
Cheese Burger                      	 1         	 £ 9.25     	
Apple Juice                        	 1         	 £ 1.15     	
Fish and Chips                     	 0         	 £ 0.00     	
Latte                              	 3         	 £ 6.75     	
Snickers                           	 0         	 £ 0.00     	
Hot Chocolate                      	 2         	 £ 4.90     	
Banana                             	 0         	 £ 0.00     	
mealDeal                           	 1         	 £-9.65     	
Coca-Cola                          	 1         	 £ 1.25     	
Ham and Cheese Panini              	 1         	 £ 6.25     	
Chicken Burger                     	 1         	 £ 8.95     	
Irn Bru                            	 1         	 £ 1.25     	
Sprite                             	 2         	 £ 2.50     	
Chocolate Muffin                   	 1         	 £ 1.75     	
Macaroni Cheese                    	 2         	 £ 15.50    	
Prawn Cocktail Crisps              	 1         	 £ 0.75     	
Lasagna                            	 2         	 £ 16.50    	
Cheese and Onion Crisps            	 0         	 £ 0.00     	
Cheese Panini                      	 1         	 £ 6.25     	
Blueberry Muffin                   	 2         	 £ 3.50     	
Twix                               	 0         	 £ 0.00     	
Orange                             	 0         	 £ 0.00     	
Flapjack                           	 2         	 £ 2.50     	

Total Earnings:                                  £112.65
