Total Value Report
created on: Mon Feb 18 

Item                               	Count     	Total Value	

--==Food==--
Bacon and Brie Panini              	 1         	 £ 6.75     	
Beef Burger                        	 0         	 £ 0.00     	
Ceaser Salad                       	 0         	 £ 0.00     	
Cheese Burger                      	 1         	 £ 9.25     	
Cheese Panini                      	 1         	 £ 6.25     	
Chicken Burger                     	 1         	 £ 8.95     	
Fish and Chips                     	 0         	 £ 0.00     	
Ham and Cheese Panini              	 1         	 £ 6.25     	
Lasagna                            	 1         	 £ 8.25     	
Macaroni Cheese                    	 1         	 £ 7.75     	
Soup of the Day                    	 1         	 £ 5.25     	

--==Snack==--
Apple                              	 1         	 £ 0.50     	
Banana                             	 0         	 £ 0.00     	
Blueberry Muffin                   	 1         	 £ 1.75     	
Cadbury                            	 0         	 £ 0.00     	
Cheese and Onion Crisps            	 0         	 £ 0.00     	
Chocolate Chip Cookie              	 1         	 £ 1.25     	
Chocolate Muffin                   	 0         	 £ 0.00     	
Flapjack                           	 1         	 £ 1.25     	
Mars Bar                           	 0         	 £ 0.00     	
Oatmeal Cookie                     	 1         	 £ 1.25     	
Orange                             	 0         	 £ 0.00     	
Prawn Cocktail Crisps              	 1         	 £ 0.75     	
Salt and Vinegar Crisps            	 0         	 £ 0.00     	
Snickers                           	 0         	 £ 0.00     	
Twirl                              	 0         	 £ 0.00     	
Twix                               	 0         	 £ 0.00     	

--==Drink==--
Apple Juice                        	 0         	 £ 0.00     	
Black Coffee                       	 2         	 £ 3.50     	
Coca-Cola                          	 1         	 £ 1.25     	
Fanta                              	 2         	 £ 2.50     	
Hot Chocolate                      	 1         	 £ 2.45     	
Irn Bru                            	 1         	 £ 1.25     	
Latte                              	 3         	 £ 6.75     	
Orange Juice                       	 2         	 £ 2.30     	
Sparkling Water                    	 0         	 £ 0.00     	
Sprite                             	 1         	 £ 1.25     	
Still Water                        	 0         	 £ 0.00     	
Tea                                	 2         	 £ 3.90     	

--==Discount==--
Apple Juice                        	 0         	 £-0.00     	
Black Coffee                       	 2         	 £-3.50     	
Coca-Cola                          	 1         	 £-1.25     	
Fanta                              	 2         	 £-2.50     	
Hot Chocolate                      	 1         	 £-2.45     	
Irn Bru                            	 1         	 £-1.25     	
Latte                              	 3         	 £-6.75     	
Orange Juice                       	 2         	 £-2.30     	
Sparkling Water                    	 0         	 £-0.00     	
Sprite                             	 1         	 £-1.25     	
Still Water                        	 0         	 £-0.00     	
Tea                                	 2         	 £-3.90     	

Total Earnings:                                 Â£65.45
